Title,Tweet_Length,Compound_Score,Positive_Score,Neutral_Score,Negative_Score,Overall_Rated
2024-12-16 22:08:51+00:00,61,0.0,0.0,1.0,0.0,Neutral
2024-12-16 21:33:23+00:00,56,0.0,0.0,1.0,0.0,Neutral
2024-12-16 21:31:08+00:00,69,0.906,0.311,0.689,0.0,Positive
2024-12-16 19:38:46+00:00,263,-0.6369,0.0,0.892,0.108,Negative
2024-12-16 16:07:16+00:00,81,0.2565,0.135,0.865,0.0,Positive
2024-12-16 12:44:14+00:00,210,0.7269,0.152,0.848,0.0,Positive
2024-12-16 09:28:09+00:00,166,0.7424,0.178,0.771,0.051,Positive
2024-12-16 08:41:22+00:00,80,0.0,0.0,1.0,0.0,Neutral
2024-12-16 01:30:59+00:00,187,0.6792,0.145,0.855,0.0,Positive
2024-12-15 21:18:09+00:00,100,-0.1531,0.0,0.922,0.078,Negative
2024-12-15 20:19:15+00:00,45,0.5106,0.248,0.752,0.0,Positive
2024-12-15 17:58:41+00:00,92,-0.4019,0.0,0.856,0.144,Negative
2024-12-15 17:02:40+00:00,119,0.0,0.0,1.0,0.0,Neutral
2024-12-15 16:09:48+00:00,181,0.4767,0.1,0.9,0.0,Positive
2024-12-15 06:04:43+00:00,187,0.743,0.139,0.861,0.0,Positive
2024-12-15 04:52:56+00:00,189,0.4404,0.068,0.932,0.0,Positive
2024-12-14 23:35:26+00:00,114,0.0,0.0,1.0,0.0,Neutral
2024-12-14 22:21:56+00:00,128,0.0,0.0,1.0,0.0,Neutral
2024-12-14 15:35:00+00:00,96,0.2732,0.13,0.87,0.0,Positive
2024-12-14 14:37:16+00:00,89,0.0,0.0,1.0,0.0,Neutral
2024-12-14 10:20:00+00:00,85,0.2732,0.139,0.861,0.0,Positive
2024-12-14 04:19:37+00:00,216,0.2263,0.046,0.954,0.0,Positive
2024-12-14 01:46:07+00:00,57,0.0,0.0,1.0,0.0,Neutral
2024-12-13 22:54:13+00:00,43,0.0,0.0,1.0,0.0,Neutral
2024-12-13 21:53:01+00:00,32,0.5106,0.35,0.65,0.0,Positive
2024-12-13 21:46:43+00:00,88,0.2732,0.123,0.877,0.0,Positive
2024-12-13 21:25:11+00:00,80,0.8519,0.458,0.542,0.0,Positive
2024-12-13 21:23:46+00:00,89,0.8316,0.404,0.596,0.0,Positive
2024-12-13 19:21:52+00:00,236,0.5267,0.126,0.823,0.052,Positive
2024-12-13 17:48:05+00:00,230,0.9284,0.313,0.687,0.0,Positive
2024-12-13 17:22:28+00:00,186,0.4019,0.078,0.922,0.0,Positive
2024-12-13 17:11:12+00:00,216,0.0,0.0,1.0,0.0,Neutral
2024-12-13 15:15:52+00:00,59,0.3612,0.143,0.857,0.0,Positive
2024-12-13 08:38:40+00:00,114,0.4404,0.132,0.801,0.066,Positive
2024-12-13 02:42:03+00:00,128,0.6249,0.159,0.841,0.0,Positive
2024-12-13 02:39:47+00:00,170,0.7783,0.206,0.794,0.0,Positive
2024-12-12 19:59:28+00:00,198,0.5399,0.093,0.907,0.0,Positive
2024-12-12 16:03:37+00:00,175,0.2023,0.07,0.93,0.0,Positive
2024-12-12 16:00:11+00:00,197,0.2076,0.067,0.886,0.047,Positive
2024-12-12 11:10:39+00:00,145,0.0,0.0,1.0,0.0,Neutral
2024-12-12 10:51:59+00:00,127,0.3612,0.098,0.902,0.0,Positive
2024-12-12 10:35:42+00:00,263,0.0258,0.046,0.909,0.045,Neutral
2024-12-12 07:25:58+00:00,192,0.5413,0.093,0.907,0.0,Positive
2024-12-12 01:01:33+00:00,25,0.0,0.0,1.0,0.0,Neutral
2024-12-11 22:25:04+00:00,54,0.5719,0.343,0.657,0.0,Positive
2024-12-11 22:18:17+00:00,185,0.0,0.0,1.0,0.0,Neutral
2024-12-11 21:41:38+00:00,180,-0.7706,0.0,0.813,0.187,Negative
